-1.219,0.238,1.113
-1.313,0.277,1.117
-1.414,0.234,1.066
-1.457,0.188,0.98
-1.43,0.09,0.914
-1.371,-0.051,0.852
-1.27,-0.188,0.793
-1.117,-0.27,0.75
-0.922,-0.234,0.742
-0.699,-0.047,0.801
-0.516,0.133,0.797
-0.402,0.191,0.707
-0.316,0.133,0.582
-0.254,0.008,0.477
-0.238,-0.16,0.348
-0.234,-0.348,0.207
-0.219,-0.527,0.086
-0.172,-0.668,-0.004
-0.109,-0.715,-0.094
-0.07,-0.695,-0.191
-0.074,-0.668,-0.297
-0.121,-0.664,-0.375
-0.219,-0.66,-0.426
-0.34,-0.578,-0.418
-0.48,-0.371,-0.324
-0.68,-0.086,-0.176
-0.98,0.25,-0.063
-1.316,0.633,-0.086
-1.551,0.953,-0.137
-1.695,1.059,-0.082
-1.887,1.043,-0.031
-2.051,1.203,-0.141
-2.047,1.582,-0.309
-2.02,1.973,-0.418
-1.992,2.289,-0.422
-1.867,2.414,-0.332
-1.672,2.238,-0.211
-1.508,1.957,-0.098
-1.344,1.715,-0.016
-1.129,1.523,0.02
-0.871,1.359,0.055
-0.625,1.195,0.113
-0.43,1.004,0.164
-0.285,0.773,0.215
-0.172,0.492,0.242
-0.086,0.168,0.254
0,-0.16,0.215
0.105,-0.453,0.152
0.262,-0.68,0.082
0.449,-0.758,0.027
0.613,-0.66,-0.008
0.707,-0.496,-0.027
0.746,-0.328,-0.047
0.773,-0.199,-0.074
0.797,-0.117,-0.098
0.793,-0.094,-0.129
0.801,-0.129,-0.078
0.859,-0.16,0.07
0.914,-0.152,0.219
0.941,-0.086,0.246
1,0.191,0.102
1.199,0.781,-0.125
1.508,1.488,-0.422
1.824,2.273,-0.699
2.07,3.285,-0.758
2.074,4.211,-0.66
1.75,4.523,-0.508
1.328,4.215,-0.387
0.883,3.531,-0.324
0.504,2.809,-0.293
0.195,2.25,-0.262
-0.004,1.902,-0.199
-0.082,1.676,-0.129
-0.09,1.453,-0.066
-0.086,1.191,-0.016
-0.129,0.898,0.008
-0.211,0.652,0
-0.313,0.48,-0.027
-0.406,0.375,-0.063
-0.473,0.313,-0.094
-0.535,0.258,-0.129
-0.594,0.199,-0.168
-0.652,0.148,-0.176
-0.738,0.125,-0.148
-0.805,0.145,-0.094
-0.82,0.215,-0.043
-0.801,0.277,-0.023
